ticker,cnpj,nome,segmento,classe,frac_imoveis
RBVA11,15.576.907/0001-70,RIO BRAVO RENDA VAREJO FII DE RESPONSABILIDADE L,Shopping/Varejo,tijolo,1.86
RCRB11,03.683.056/0001-86,FUNDO DE INV. IMOBILIÁRIO RIO BRAVO RENDA CORPOR,Lajes,tijolo,2.19
RECT11,32.274.163/0001-59,FUNDO REC RENDA IMOBILIARIA,Tijolo (outros),tijolo,2.06
RLMI11,11.233.841/0001-65,REAL MINAS FUNDO DE INVESTIMENTO IMOBILIÁRIO - F,Tijolo (outros),tijolo,1.97
RMAI11,17.374.696/0001-19,REAG MULTI ATIVOS IMOBILIÁRIOS - FII,Tijolo (outros),tijolo,0.86
RNGO11,15.006.286/0001-90,FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO NEGRO,Tijolo (outros),tijolo,1.97
RWYM11,14.088.246/0001-71,FUNDO DE INVESTIMENTO IMOBILIÁRIO RAILWAY MALL I,Shopping/Varejo,tijolo,1.99
RZAT11,28.267.696/0001-36,RIZA ARCTIUM FII RL,Tijolo (outros),tijolo,1.23
RZTR11,36.501.128/0001-86,FUNDO DE INVESTIMENTO IMOBILIÁRIO RIZA TERRAX,Tijolo (outros),tijolo,2.6
RZZV11,51.786.271/0001-55,RAIZZ DESENV FII,Tijolo (outros),tijolo,1.11
SAIC11,17.311.079/0001-74,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII SIA CORP,Lajes,tijolo,2.05
SEQR11,09.517.273/0001-82,SEQUÓIA III RENDA IMOBILIÁRIA FII,Tijolo (outros),tijolo,1.85
SHDP11,07.224.019/0001-60,SPDP FII RL,Tijolo (outros),tijolo,1.07
SHOP11,22.459.737/0001-00,MULTI SHOPPINGS FII RESPONSABILIDADE LIMITADA,Shopping/Varejo,tijolo,1.85
SHPG11,17.568.605/0001-86,MAIS SHOPPING FII RL,Shopping/Varejo,tijolo,1.89
SHPH11,03.507.519/0001-59,SHOPPING PÁTIO HIGIENÓPOLIS FII DE RESPONSABILID,Shopping/Varejo,tijolo,1.96
SHPP11,59.090.726/0001-05,SHOP PT PAULISTA FII,Tijolo (outros),tijolo,1.92
SNFZ11,53.313.475/0001-02,SUNO FAZENDAS FIAGRO-IMOBILIARIO,Tijolo (outros),tijolo,1.44
SOLR11,22.169.671/0001-13,SOLARIUM FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,1.99
SPG211,57.077.139/0001-50,SPGM II FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,1.97
SPTW11,31.145.875/0001-05,BFC FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,1.86
SPVJ11,27.538.422/0001-71,FUNDO IMOBILIÁRIO SUCCESPAR,Tijolo (outros),tijolo,0.71
SRII11,14.365.190/0001-55,ESTRUTURA II FUNDO DE INVESTIMENTO IMOBILIARIO -,Tijolo (outros),tijolo,1.99
STRX11,11.044.355/0001-07,STARX FII RESPONSABILIDADE LIMITADA,Tijolo (outros),tijolo,1.97
TEPP11,26.681.370/0001-25,FII TELLUS PROP,Tijolo (outros),tijolo,2.28
TJKB11,39.714.024/0001-48,TJK RENDA IMOBILIARIA FII - RESPONSABILIDADE LIM,Tijolo (outros),tijolo,1.88
TMFI11,23.570.871/0001-46,TM FII RL,Tijolo (outros),tijolo,1.97
TOPP11,56.805.391/0001-76,FII RBR TOP OFFICES,Lajes,tijolo,2.81
TRBL11,16.671.412/0001-93,TELLUS RIO BRAVO RENDA LOGISTICA FII DE RESP LTD,Logística,tijolo,1.6
TRNT11,04.722.883/0001-02,TORRE NORTE FII,Tijolo (outros),tijolo,1.99
TRRF11,13.320.290/0001-00,FII TERRA RL,Tijolo (outros),tijolo,2.37
TRXB11,36.368.925/0001-37,TRX REAL ESTATE II FUNDO DE INVESTIMENTO IMOBILI,Tijolo (outros),tijolo,1.64
TRXF11,28.548.288/0001-52,TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRI,Tijolo (outros),tijolo,2.8
TSER11,34.847.042/0001-84,TISHMAN SPEYER RENDA CORPORATIVA FUNDO DE INV IM,Lajes,tijolo,3.55
TSNC11,17.007.443/0001-07,TRANSINC FII RL,Tijolo (outros),tijolo,1.59
UMED11,41.114.606/0001-35,F.I.I UNIMED INVESTCOOP NACIONAL RESPONS. LIMITA,Tijolo (outros),tijolo,1.53
VCRR11,40.041.723/0001-53,PATRIA RENDA RESIDENCIAL FII RESPONSABILIDADE LI,Tijolo (outros),tijolo,1.99
VERE11,08.693.497/0001-82,FUNDO DE INVESTIMENTO IMOBILIÁRIO VEREDA,Tijolo (outros),tijolo,1.73
VGRI11,53.656.482/0001-07,VALORA RENDA IMOBILIARIA FII,Tijolo (outros),tijolo,1.98
VILG11,24.853.044/0001-22,VINCI LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARI,Logística,tijolo,1.48
VINO11,12.516.185/0001-70,VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO,Lajes,tijolo,2.85
VISC11,17.554.274/0001-25,VINCI SHOPPING CENTERS FUNDO DE INVESTIMENTO IMO,Shopping/Varejo,tijolo,2.19
VIUR11,36.445.587/0001-90,VINCI IMÓVEIS URBANOS FII - RESP LTDA,Renda Urbana,hibrido,0.44
VJFD11,15.489.509/0001-17,JFDCAM - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Tijolo (outros),tijolo,1.88
VPPR11,30.654.849/0001-40,V2 PRIME PROPERTIES FII,Tijolo (outros),tijolo,3.13
VPSI11,14.721.889/0001-00,FUNDO DE INVESTIMENTO IMOBILIARIO POLO SHOPPING ,Shopping/Varejo,tijolo,2.0
VRTM11,51.870.412/0001-13,FATOR VERITA MULTIESTRATÉGIA FII,Tijolo (outros),tijolo,0.96
VSHO11,23.740.595/0001-17,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SHO,Shopping/Varejo,tijolo,1.94
VTPA11,21.500.481/0001-74,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM PAT,Tijolo (outros),tijolo,2.0
VTPL11,15.098.422/0001-19,PLUS FII,Tijolo (outros),tijolo,2.17
VVPR11,33.045.581/0001-37,V2 PROPERTIES FII,Tijolo (outros),tijolo,1.95
VVRI11,49.184.940/0001-77,V2 RENDA IMOB FII RL,Tijolo (outros),tijolo,1.28
WPLZ11,09.326.861/0001-39,SHOPPING WEST PLAZA FUNDO DE INVESTIMENTO IMOBIL,Shopping/Varejo,tijolo,1.95
WTSP11,28.693.595/0001-27,FII OURINVEST RE I - RESPONSABILIDADE LIMITADA,Tijolo (outros),tijolo,1.98
XPIN11,28.516.325/0001-40,XP INDUSTRIAL FII,Logística,tijolo,2.07
XPLG11,26.502.794/0001-85,FII XP LOG,Logística,tijolo,2.07
XPML11,28.757.546/0001-00,XP MALLS FII,Shopping/Varejo,tijolo,1.62
XTED11,15.006.267/0001-63,V2 ED CORP FII RL,Tijolo (outros),tijolo,1.25
ZAGH11,45.188.066/0001-95,ZAGROS MULTI FII,Tijolo (outros),tijolo,0.98
ZAVI11,40.575.940/0001-23,FII ZAVIT REAL ESTATE FUND,Tijolo (outros),tijolo,2.94
