cd_cvm,nome,denom_social,denom_comerc,setor,setor_cvm,categ_reg,tp_merc,sit_emissor,sit_cvm,gov_listagem_default,cnpj,ticker_b3,controle_acionario,mun,uf,dt_const,dt_reg,auditor
25399,NEOGRID,NEOGRID PARTICIPACÕES S.A.,NEOGRID PARTICIPAÇÕES S.A.,Comunicacao,Comunicação e Informática,Categoria A,,FASE OPERACIONAL,ATIVO,2.0,10.139.870/0001-08,,PRIVADO HOLDING,JOINVILLE,SC,2008,2020,GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
21180,NEXPE PARTICIPAÃIES,NEXPE PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,NEXPE PARTICIPAÃiES S.A.,Imobiliario,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",Categoria A,BOLSA,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE,ATIVO,3.0,08.613.550/0001-98,NEXE3,PRIVADO,SÃO PAULO,SP,2007,2007,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
24988,NORTE BRASIL TRANSMISSORA DE ENERGIA,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.,Utilities,Energia Elétrica,Categoria B,BALCÃO ORGANIZADO,FASE OPERACIONAL,ATIVO,2.0,09.625.321/0001-56,,PRIVADO,RIO DE JANEIRO,RJ,2008,2020,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
25097,NORTE ENERGIA,NORTE ENERGIA S.A,NORTE ENERGIA S.A,Utilities,Energia Elétrica,Categoria A,BALCÃO ORGANIZADO,FASE OPERACIONAL,ATIVO,2.0,12.300.288/0001-07,,PRIVADO,BRASÍLIA,DF,2010,2020,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
24708,NTS,NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS,NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS,Energia,Emp. Adm. Part. - Petróleo e Gás,Categoria B,BALCÃO ORGANIZADO,FASE OPERACIONAL,ATIVO,2.0,04.992.714/0001-84,,PRIVADO,RIO DE JANEIRO,RJ,2002,2019,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
21334,NUTRIPLANT,NUTRIPLANT INDUSTRIA E COMÉRCIO S/A,NUTRIPLANT,Materiais,"Agricultura (Açúcar, Álcool e Cana)",Categoria A,BOLSA,EM RECUPERAÇÃO EXTRAJUDICIAL,ATIVO,3.0,51.128.999/0001-90,NUTR3,PRIVADO,BARUERI,SP,1979,2008,JPPS AUDITORES INDEPENDENTES S/S LTDA.
23620,OCEANA OFFSHORE,CBO HOLDING S.A.,OCEANA OFFSHORE S.A.,Energia,Emp. Adm. Part. - Petróleo e Gás,Categoria A,,FASE OPERACIONAL,ATIVO,2.0,14.882.295/0001-81,,PRIVADO,NITERÓI,RJ,2011,2015,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
25534,OCEANPACT SERVIÇOS MARÍTIMOS,OCEANPACT SERVIÇOS MARÍTIMOS S.A.,OCEANPACT SERVIÇOS MARÍTIMOS S.A.,Energia,Petróleo e Gás,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,09.114.805/0001-30,OPCT3,PRIVADO,RIO DE JANEIRO,RJ,2007,2021,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
26956,OCEÂNICA ENGENHARIA E CONSULTORIA,OCEÂNICA ENGENHARIA E CONSULTORIA S.A.,,Energia,Emp. Adm. Part. - Petróleo e Gás,Categoria A,,FASE OPERACIONAL,ATIVO,2.0,29.980.141/0001-08,,PRIVADO,RIO DE JANEIRO,RJ,2022,2022,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
4693,ODERICH,CONSERVAS ODERICH SA,CONSERVAS ODERICH SA,Consumo Basico,Alimentos,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,97.191.902/0001-94,ODER4,PRIVADO,SÃO SEBASTIÃO DO CAÍ,RS,1908,1977,ROKEMBACH & CIA. AUDITORES LTDA.
26662,ODOYÁ TRANSMISSORA DE ENERGIA,ARGO V TRANSMISSAO DE ENERGIA S.A.,ODOYÁ TRANSMISSORA DE ENERGIA S.A,Utilities,Energia Elétrica,Categoria B,BALCÃO ORGANIZADO,FASE OPERACIONAL,ATIVO,2.0,20.514.590/0001-88,,PRIVADO HOLDING,SÃO PAULO,SP,2014,2022,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
11312,OI,OI S.A. - EM RECUPERAÇÃO JUDICIAL,BRASIL TELECOM S.A.,Comunicacao,Telecomunicações,Categoria A,,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE,ATIVO,2.0,76.535.764/0001-43,,PRIVADO,RIO DE JANEIRO,RJ,2000,1980,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
