ticker,nome,setor_gics,indice
DFH,"Dream Finders Homes, Inc.",Consumer Discretionary,600
DFIN,"Donnelley Financial Solutions, Inc.",Financials,600
DG,Dollar General,Consumer Staples,500
DGII,Digi International Inc.,Information Technology,600
DGX,Quest Diagnostics,Health Care,500
DHI,D. R. Horton,Consumer Discretionary,500
DHR,Danaher Corporation,Health Care,500
DINO,HF Sinclair,Energy,400
DIOD,Diodes Incorporated,Information Technology,600
DIS,Walt Disney Company (The),Communication Services,500
DKS,Dick's Sporting Goods,Consumer Discretionary,400
DLB,Dolby,Information Technology,400
DLR,Digital Realty,Real Estate,500
DLTR,Dollar Tree,Consumer Staples,500
DLX,Deluxe Corporation,Industrials,600
DNOW,NOW Inc,Industrials,600
DOC,Healthpeak Properties,Real Estate,500
DOCN,DigitalOcean,Information Technology,400
DOCS,Doximity,Health Care,400
DOCU,Docusign,Information Technology,400
DORM,"Dorman Products, Inc.",Consumer Discretionary,600
DOV,Dover Corporation,Industrials,500
DOW,Dow Inc.,Materials,500
DPZ,Domino's,Consumer Discretionary,500
DRH,DiamondRock Hospitality Company,Real Estate,600
DRI,Darden Restaurants,Consumer Discretionary,500
DT,Dynatrace,Information Technology,400
DTE,DTE Energy,Utilities,500
DTM,DT Midstream,Energy,400
DUK,Duke Energy,Utilities,500
DUOL,Duolingo,Consumer Discretionary,400
DV,"DoubleVerify Holdings, Inc.",Communication Services,600
DVA,DaVita,Health Care,500
DVN,Devon Energy,Energy,500
DXC,DXC Technology,Information Technology,600
DXCM,Dexcom,Health Care,500
DXPE,"DXP Enterprises, Inc.",Industrials,600
DY,Dycom Industries,Industrials,400
EA,Electronic Arts,Communication Services,500
EAT,"Brinker International, Inc.",Consumer Discretionary,600
EBAY,eBay Inc.,Consumer Discretionary,500
ECG,"Everus Construction Group, Inc.",Industrials,600
ECL,Ecolab,Materials,500
ECPG,"Encore Capital Group, Inc.",Financials,600
ED,Consolidated Edison,Utilities,500
EEFT,Euronet Worldwide,Financials,400
EFC,"Ellington Financial, Inc.",Financials,600
EFOR,Everforth Inc.,Information Technology,600
EFX,Equifax,Industrials,500
EG,Everest Group,Financials,500
EGBN,Eagle Bancorp Inc,Financials,600
EGP,EastGroup Properties,Real Estate,400
EHC,Encompass Health,Health Care,400
EIG,"Employers Holdings, Inc.",Financials,600
EIX,Edison International,Utilities,500
